사자, 45, 198
차가, 94, 187
아라, 50, 163
아마, 83, 140
아가, 83, 173
라라, 89, 145
타라, 93, 179
차타, 48, 154
나아, 52, 142
나가, 46, 159
마타, 59, 143
타다, 97, 196
차카, 70, 164
사마, 69, 196
차다, 70, 169
타카, 88, 152
파나, 79, 143
마아, 63, 169
바아, 65, 153
가카, 41, 196
파파, 62, 187
가마, 75, 163
가아, 59, 193
나가, 88, 164
사바, 54, 184
사가, 79, 162
자사, 95, 178
마가, 92, 170
바카, 77, 160
타마, 66, 174
나자, 69, 153
차카, 53, 143
타하, 47, 187
마자, 98, 191
라하, 82, 179
가타, 56, 143
가라, 59, 151
나가, 50, 172
카사, 78, 187
사카, 98, 140
자가, 82, 192
마가, 52, 143
타마, 86, 190
자타, 69, 163
카다, 91, 172
파파, 68, 149
다하, 76, 158
사바, 96, 146
가하, 85, 156
카나, 91, 160
다다, 49, 198
가아, 59, 174
파다, 85, 161
바사, 41, 177
라차, 59, 142
마자, 87, 182
다카, 87, 175
가다, 56, 199
아파, 89, 192
라다, 60, 161
마차, 82, 150
카차, 56, 177
아파, 64, 155
자가, 53, 155
나가, 95, 145
나나, 99, 145
하자, 88, 185
다아, 70, 147
자카, 72, 181
다사, 40, 177
파타, 90, 154
다사, 98, 171
타아, 78, 169
카타, 96, 142
마사, 94, 146
라파, 63, 145
차카, 69, 160
타마, 42, 172
가차, 58, 184
라바, 85, 186
라사, 92, 180
바마, 88, 196
하라, 98, 153
가가, 48, 173
사카, 74, 163
사사, 86, 141
나나, 92, 159
다차, 48, 178
파아, 83, 148
바차, 47, 140
자가, 42, 155
나차, 51, 182
자파, 63, 176
자가, 65, 145
차아, 56, 190
바사, 41, 180
바다, 61, 168
파차, 86, 185
자카, 64, 166
자라, 44, 157
카카, 89, 141
카하, 78, 148
아하, 48, 142
나바, 63, 148
다나, 50, 172
파사, 47, 193
하자, 67, 161
바사, 66, 142
타사, 84, 190
다하, 80, 197
카자, 52, 198
차바, 94, 192
차라, 68, 156
마하, 91, 155
아차, 73, 147
아마, 95, 142
카카, 67, 188
파카, 77, 155
라라, 92, 189
자자, 56, 184
아하, 50, 186
차다, 41, 191
자가, 66, 160
바타, 68, 144
사다, 88, 140
나마, 48, 185
카자, 84, 140
타라, 56, 185
차라, 40, 151
파하, 65, 168
카라, 45, 144
파마, 85, 142
가사, 49, 178
타라, 55, 177
다라, 47, 193
다자, 73, 154
사사, 70, 193
나하, 89, 182
가파, 86, 180
하가, 79, 195
카사, 83, 151
자다, 97, 149
가라, 92, 194
사아, 46, 183
타나, 52, 186
자가, 60, 149
자나, 66, 190
카하, 71, 152
자바, 93, 174
아아, 61, 154
차차, 77, 177
하아, 96, 146
타라, 93, 192
아나, 84, 180
차사, 78, 154
자하, 78, 197
가마, 95, 167
라파, 62, 163
바가, 68, 147
아마, 44, 171
하사, 78, 165
자가, 81, 189
자라, 59, 150
하자, 78, 148
마사, 76, 167
다마, 92, 171
차가, 50, 162
차자, 90, 171
카차, 90, 193
카다, 93, 176
라자, 86, 142
나하, 82, 157
타파, 99, 167
사아, 70, 189
타사, 80, 155
가사, 89, 176
차파, 42, 165
가타, 90, 175
하타, 53, 171
나파, 86, 164
타사, 96, 184
타사, 81, 172
차마, 88, 146
다바, 80, 170
다라, 90, 194
파가, 87, 141
다차, 76, 144
타나, 76, 147
자마, 81, 168
바마, 75, 161
사마, 86, 165
파파, 69, 167
나하, 52, 145
파라, 67, 155
마카, 93, 185
자카, 72, 150
마마, 72, 190
바가, 44, 191
가카, 54, 148
파카, 68, 183
라라, 88, 154
자타, 59, 194
라차, 84, 196
타라, 46, 149
타나, 90, 189
라파, 85, 194
라사, 73, 189
아사, 55, 154
나하, 55, 164
다자, 54, 156
하나, 95, 140
자나, 45, 155
타차, 96, 190
아카, 98, 186
라가, 50, 154
라타, 47, 144
마가, 65, 148
타바, 74, 155
카자, 42, 183
차다, 62, 193
카다, 50, 162
마가, 62, 198
하다, 78, 147
파타, 89, 170
타다, 41, 196
하바, 70, 151
마차, 62, 191
나타, 69, 153
다가, 81, 198
라차, 41, 142
카카, 47, 157
파파, 86, 194
가파, 49, 192
파사, 49, 174
카가, 53, 173
자마, 81, 150
라사, 81, 157
다마, 49, 141
마라, 45, 163
나바, 70, 152
다사, 67, 174
카다, 45, 148
아바, 66, 183
자바, 71, 189
카타, 57, 165
라가, 67, 176
가사, 47, 151
바사, 41, 186
카나, 83, 172
아아, 80, 169
카자, 65, 175
마라, 62, 187
아마, 96, 158
아차, 49, 189
카아, 79, 146
사라, 51, 173
하사, 60, 148
하사, 85, 145
하카, 54, 169
마카, 92, 176
다자, 41, 178
다자, 48, 143
하아, 90, 158
가나, 75, 150
카차, 98, 173
하하, 48, 172
카하, 43, 199
파자, 87, 189
하라, 49, 195
가파, 46, 152
다사, 51, 156
사바, 42, 169
사타, 79, 177
사카, 48, 144
자바, 83, 188
마마, 83, 176
타사, 65, 154
사차, 87, 184
타바, 60, 164
차바, 63, 181
가차, 82, 194
바파, 98, 196
타사, 64, 179
사사, 49, 149
사아, 75, 159
카가, 44, 148
타카, 64, 196
카바, 74, 161
마가, 84, 163
다파, 98, 149
카타, 63, 198
타차, 79, 161
타파, 64, 192
타아, 44, 190
하가, 59, 175
파사, 70, 142
타다, 57, 159
마타, 86, 142
나마, 62, 174
타차, 85, 198
타마, 44, 198
다하, 77, 199
차가, 62, 193
마타, 52, 171
차바, 65, 166
나다, 92, 189
아가, 62, 182
하나, 79, 141
가가, 43, 198
마자, 68, 146
카하, 59, 193
하다, 48, 194
나파, 54, 142
사파, 69, 147
나나, 52, 179
카차, 91, 157
카사, 41, 150
자카, 99, 145
다파, 46, 157
아라, 77, 153
다아, 75, 157
파바, 97, 198
파차, 70, 183
가바, 97, 190
차아, 96, 147
아차, 63, 186
사타, 46, 188
마사, 42, 165
카바, 93, 153
하마, 83, 171
파마, 74, 192
사라, 77, 194
파가, 44, 166
자가, 40, 193
카차, 46, 198
타하, 81, 140
가아, 66, 186
자자, 61, 199
파차, 95, 167
하마, 52, 174
타다, 72, 186
아마, 44, 196
가가, 75, 196
카카, 90, 171
사사, 71, 168
다차, 40, 167
파타, 47, 173
다마, 64, 156
아가, 88, 141
라다, 62, 164
나바, 73, 150
다나, 49, 162
타라, 98, 148
바사, 71, 163
사차, 52, 163
바차, 52, 149
바하, 56, 161
라하, 98, 157
하라, 70, 154
카자, 97, 148
라나, 79, 184
나라, 99, 146
아자, 65, 183
타차, 69, 188
바하, 71, 171
나아, 81, 164
차자, 84, 176
사라, 94, 190
자자, 46, 195
하타, 57, 173
사라, 50, 166
다하, 60, 197
차타, 77, 159
가차, 82, 144
차하, 52, 146
하나, 91, 189
바자, 62, 184
자마, 50, 174
카라, 99, 189
차사, 78, 197
라라, 42, 167
자사, 99, 198
사파, 84, 177
다카, 96, 195
아사, 66, 173
타나, 58, 170
가하, 43, 170
카자, 82, 161
마아, 85, 162
바파, 64, 151
마나, 68, 186
가자, 82, 197
차차, 42, 163
가하, 83, 191
아나, 50, 166
바다, 45, 146
하아, 81, 179
가하, 97, 190
바카, 51, 160
가바, 87, 162
나자, 84, 177
라타, 57, 185
차차, 75, 179
나라, 60, 145
나하, 51, 179
사마, 89, 141
자자, 96, 160
라파, 75, 147
하다, 66, 162
파아, 85, 147
마나, 82, 151
바하, 68, 187
자라, 77, 149
카파, 52, 141
파자, 74, 154
자바, 84, 161
아바, 88, 198
다사, 86, 163
가가, 74, 158
마사, 45, 169
아라, 46, 197
다하, 82, 191
타카, 96, 145
타카, 50, 198
라카, 54, 147
자아, 58, 143
사다, 77, 167
다파, 76, 146
아다, 88, 199
타바, 80, 162
카아, 60, 169
가마, 61, 146
아차, 48, 177
아가, 53, 164
카바, 69, 180
가자, 90, 199
하차, 82, 168
라자, 79, 180
나카, 52, 160
다차, 63, 143
카마, 91, 147
가나, 58, 192
라자, 99, 169
차마, 69, 163
사나, 65, 180
다자, 79, 181
라카, 46, 146
사파, 60, 169
사가, 61, 186
라다, 82, 194
하바, 92, 175
다라, 66, 161
하자, 64, 178
가사, 40, 190
가나, 87, 190
나바, 89, 179
가파, 46, 178
나자, 96, 161
하하, 43, 168
나파, 59, 183
차마, 89, 181
나마, 60, 150
아카, 43, 189
마마, 56, 176
파하, 56, 145
마차, 80, 152
사아, 55, 179
하바, 68, 172
나차, 60, 193
가자, 50, 183
하사, 86, 169
사마, 48, 148
자자, 58, 163
차차, 55, 191
아파, 66, 161
하나, 43, 177
사나, 41, 192
다카, 71, 147
사나, 68, 154
나아, 63, 177
나차, 63, 168
파자, 69, 170
나차, 88, 177
파하, 41, 197
타자, 56, 191
하카, 80, 140
라가, 60, 186
카사, 99, 146
아사, 91, 198
차나, 50, 141
가카, 61, 150
아나, 75, 188
가마, 41, 143
가사, 93, 151
타가, 88, 172
아카, 64, 163
바자, 82, 180
자나, 71, 152
라파, 97, 160
타나, 87, 153
차바, 91, 189
하파, 96, 148
나하, 91, 180
파사, 48, 183
라다, 65, 140
바마, 59, 190
카마, 94, 177
바바, 40, 143
하사, 99, 153
나하, 65, 184
나나, 77, 150
하카, 49, 164
사가, 45, 195
라라, 67, 148
다하, 86, 148
사라, 41, 169
가타, 48, 183
다자, 67, 184
라파, 40, 178
자라, 91, 159
파아, 65, 152
차카, 85, 179
다하, 89, 149
카사, 69, 148
하자, 63, 181
다사, 73, 150
타가, 99, 165
가차, 45, 194
마가, 53, 164
나카, 68, 166
타타, 72, 146
하타, 68, 156
파사, 88, 182
라사, 86, 149
나사, 61, 180
나나, 51, 175
나라, 52, 150
차자, 68, 141
타가, 74, 176
가아, 65, 178
아파, 51, 148
차자, 74, 144
자바, 92, 157
나가, 78, 177
차카, 44, 180
아사, 74, 144
다다, 76, 177
아마, 97, 192
타자, 48, 188
하타, 76, 175
아카, 95, 192
가하, 74, 186
마카, 91, 199
아라, 87, 147
하바, 40, 199
다파, 73, 174
가사, 93, 149
자다, 78, 191
파하, 42, 195
라하, 52, 176
타라, 53, 186
하다, 57, 161
사카, 75, 154
타나, 57, 172
사파, 59, 194
바사, 82, 175
나타, 61, 195
파하, 80, 196
하차, 42, 158
하파, 62, 161
사마, 48, 146
사자, 60, 171
카나, 47, 180
가가, 73, 197
라사, 46, 171
아사, 40, 193
아라, 96, 169
가라, 59, 161
자사, 57, 172
자마, 92, 168
자파, 77, 197
마나, 64, 189
타아, 75, 157
자카, 96, 166
다라, 95, 195
차사, 80, 170
바바, 89, 190
아다, 89, 150
자가, 84, 176
카차, 44, 159
하사, 97, 189
바타, 92, 165
나하, 43, 175
타차, 84, 169
마자, 41, 152
가카, 47, 142
차타, 68, 171
사자, 49, 195
바마, 96, 159
라라, 71, 165
라카, 75, 192
아마, 72, 160
마카, 59, 161
파파, 75, 188
카자, 46, 162
나나, 97, 153
하마, 56, 183
타하, 65, 165
다바, 83, 150
카다, 87, 162
타하, 42, 197
자타, 94, 180
카마, 55, 164
사라, 63, 142
카카, 63, 192
자자, 63, 151
다차, 69, 189
라아, 67, 181
가다, 92, 165
사가, 45, 159
파하, 97, 173
자다, 81, 146
사파, 73, 192
라차, 46, 153
바자, 43, 187
사나, 69, 140
차마, 66, 175
아다, 88, 174
다나, 98, 156
가파, 72, 147
자자, 76, 163
타다, 96, 159
파다, 84, 172
마타, 67, 141
다자, 79, 157
타아, 72, 191
하파, 41, 143
하나, 41, 146
아자, 60, 150
가사, 94, 155
가가, 82, 177
타다, 56, 168
하나, 96, 151
타하, 84, 190
하카, 75, 154
다하, 69, 192
자가, 73, 186
파타, 82, 157
다카, 62, 185
아차, 85, 152
타카, 44, 191
다바, 59, 179
파사, 55, 178
사카, 95, 183
아파, 73, 194
라사, 60, 191
차하, 90, 191
라하, 41, 175
나사, 66, 144
가사, 48, 185
파사, 99, 197
마마, 95, 155
사사, 52, 187
사나, 93, 192
나타, 40, 184
라라, 78, 158
나차, 47, 160
하타, 84, 198
가타, 50, 176
자바, 80, 148
라나, 97, 198
가사, 52, 165
마아, 67, 167
타다, 71, 186
라차, 94, 179
다다, 69, 186
파차, 92, 146
타카, 89, 169
아라, 57, 159
다다, 99, 166
카차, 86, 169
하차, 54, 150
카카, 76, 167
카자, 60, 149
파나, 89, 161
차라, 43, 191
사마, 84, 169
사다, 67, 156
파차, 53, 146
나라, 69, 154
아타, 47, 150
차파, 83, 152
카차, 80, 163
나차, 55, 178
자다, 75, 164
타바, 77, 165
카마, 50, 175
가나, 71, 162
파카, 68, 187
타타, 84, 162
나아, 79, 189
아차, 77, 163
바차, 90, 163
바하, 84, 169
카라, 64, 173
마하, 85, 179
카가, 76, 147
사라, 84, 157
바나, 70, 144
하라, 46, 164
자파, 59, 189
카나, 42, 142
가가, 44, 150
바사, 70, 168
다나, 48, 147
카파, 84, 173
파아, 45, 191
파라, 95, 167
타가, 65, 140
사차, 87, 153
타사, 50, 153
사파, 59, 149
사자, 90, 180
차나, 51, 174
마사, 93, 147
다타, 54, 189
다나, 99, 166
사바, 92, 154
하차, 58, 142
다사, 79, 185
파바, 49, 181
아다, 94, 176
차카, 59, 154
라나, 48, 187
아카, 58, 159
나바, 68, 184
자마, 92, 148
카마, 50, 188
파사, 44, 188
가사, 52, 149
아다, 75, 177
파하, 70, 177
아차, 47, 181
자아, 62, 161
파타, 69, 145
바다, 64, 154
나파, 44, 187
차차, 51, 182
라나, 74, 159
바카, 75, 141
라다, 91, 173
자파, 77, 150
하차, 56, 195
차카, 79, 173
아아, 87, 183
자타, 50, 149
타타, 83, 172
차마, 43, 163
라다, 83, 147
마사, 73, 194
파바, 40, 184
자마, 83, 156
타사, 46, 148
라파, 64, 150
라다, 97, 163
다카, 87, 165
아차, 61, 168
카사, 70, 184
하사, 44, 198
마가, 73, 157
사파, 92, 171
바파, 93, 143
사자, 87, 188
카라, 79, 166
바자, 70, 198
사카, 55, 164
가하, 94, 151
다파, 73, 141
자타, 63, 146
다라, 77, 173
사자, 70, 184
가아, 78, 181
나하, 73, 171
아바, 88, 194
아카, 66, 165
타차, 65, 142
마하, 41, 173
가가, 72, 183
타다, 57, 168
차라, 96, 186
파나, 91, 149
아하, 41, 199
라다, 85, 193
자자, 43, 196
파다, 63, 193
타파, 90, 161
다아, 87, 199
바타, 67, 183
사마, 74, 175
사다, 88, 198
라자, 98, 151
가나, 98, 156
차다, 92, 152
라가, 64, 169
다카, 49, 166
카하, 73, 197
아타, 55, 177
사카, 92, 193
하바, 59, 178
자차, 66, 180
